Name,Image
Afghanistan,Yes
Antarctica,Yes
Albania,Yes
Algeria,Yes
Andorra,Yes
American Samao,Yes
Angola,Yes
Anguila,Yes
Antigua and Barbuda,Yes
Argentina,Yes
Armenia,Yes
Aruba,Yes
Australia,Yes
Austria,Yes
Azerbaijan,Yes
Bahamas,Yes
Bahrain,Yes
Bangladesh,Yes
Barbados,Yes
Belarus,Yes
Belgium,Yes
Belize,Yes
Benin,Yes
Bermuda,Yes
Bhutan,Yes
Bolivia,Yes
Bosnia and Herzegovina,Yes
Botswana,Yes
Brazil,Yes
BVI,Yes
Brunei,Yes
Bulgaria,Yes
"Burkina Faso ",Yes
Burundi,Yes
Cameroon,Yes
Cambodia,Yes
Canada,Yes
Cape Verde,Yes
"Cayman Islands ",Yes
"Central African Republic ",Yes
Chad,Yes
Chile,Yes
China,Yes
Taiwan,Yes
Colombia,Yes
Comoros,Yes
Democratic Republic of Congo,Yes
Republic of Congo,Yes
Cook Islands,Yes
Costa Rica,Yes
Ivory Coast,Yes
Croatia,Yes
Cuba,Yes
Cyprus,Yes
Czech Republic,Yes
Denmark,Yes
Djibouti,Yes
Dominica,Yes
Dominican Republic,Yes
Ecuador,Yes
Egypt,Yes
El Salvador,Yes
Equatorial Guinea,Yes
Eritrea,Yes
Estonia,Yes
Ethiopia,Yes
Falkland Islands,Yes
Faroe Islands,Yes
Fiji,Yes
Finland,Yes
France,Yes
French Polynesia,Yes
French Guiana,Yes
Gabon,Yes
Georgia,Yes
Germany,Yes
Ghana,Yes
Gibraltar,Yes
Greece,Yes
Greenland,Yes
Grenada,Yes
Guadeloupe,Yes
Guam,Yes
Guatemala,Yes
Guinea,Yes
"Guinea-Bissau ",Yes
Guyana,Yes
Haiti,Yes
Honduras,Yes
Hong Kong,Yes
Hungary,Yes
Iceland,Yes
India,Yes
Indonesia,Yes
Iran,Yes
Iraq,Yes
Ireland,Yes
"Isle of Man ",Yes
Israel,Yes
Italy,Yes
Jamaica,Yes
Japan,Yes
Jordan,Yes
Kazakhstan,Yes
Kenya,Yes
Kiribati,Yes
North Korea,Yes
South Korea,Yes
Kosovo,Yes
Kuwait,Yes
Kyrgyzstan,Yes
Laos,Yes
Latvia,Yes
Lebanon,Yes
Lesotho,Yes
Liberia,Yes
Libya,Yes
Liechtenstein,Yes
Lithuania,Yes
Luxembourg,Yes
Macau,Yes
North Macedonia,Yes
Madagascar,Yes
Malawi,Yes
Malaysia,Yes
Maldives,Yes
Mali,Yes
Malta,Yes
Marshall Islands,Yes
Martinique,Yes
Mauritania,Yes
Mauritius,Yes
Mexico,Yes
Micronesia,Yes
Moldova,Yes
Monaco,Yes
Mongolia,Yes
Montenegro,Yes
Morocco,Yes
Mozambique,Yes
Myanmar,Yes
Namibia,Yes
Nuaru,Yes
Nepal,Yes
Netherlands,Yes
"New Zealand ",Yes
Nicaragua,Yes
Niger,Yes
Nigeria,Yes
Northern Cyprus,Yes
Northern Ireland,Yes
Norway,Yes
Oman,Yes
Pakistan,Yes
Palau,Yes
Palestine,Yes
Panama,Yes
"Papua New Guinea ",Yes
Paraguay,Yes
Peru,Yes
Philippines,Yes
Poland,Yes
Portugal,Yes
"Puerto Rico ",Yes
Qatar,Yes
Romania,Yes
Russia,Yes
Rwanda,Yes
St. Barts,Yes
Saint Kitts and Nevis,Yes
Saint Lucia,Yes
Saint  Martin,No
Saint Vincent and the Grenadines,Yes
Samoa,Yes
San Marino,Yes
Sao Tome and Principe,Yes
Saudi Arabia,Yes
Scotland,Yes
Senegal,Yes
Serbia,Yes
Seychelles,Yes
"Sierra Leone ",Yes
Singapore,Yes
Slovakia,Yes
Slovenia,Yes
Solomon Islands,Yes
Somalia,Yes
"South Africa ",Yes
Spain,Yes
Sri Lanka,Yes
Sudan,Yes
Suriname,Yes
Swaziland,Yes
Sweden,Yes
Switzerland,Yes
Syria,Yes
Tajikistan,Yes
Tanzania,Yes
Thailand,Yes
East Timor,Yes
Togo,Yes
Tonga,Yes
Trinidad and Tobago,Yes
Tunisia,Yes
Turkey,Yes
Turkmenistan,Yes
Turks and Caicos,Yes
Tuvalu,Yes
Uganda,Yes
Ukraine,Yes
United Arab Emirates,Yes
United Kingdom,Yes
United States,Yes
USVI,Yes
Uruguay,Yes
Uzbekistan,Yes
Vanuatu,Yes
Vatican City,Yes
Venezuela,Yes
Vietnam,Yes
Yemen,Yes
Zambia,Yes
Zanzibar,Yes
Zimbabwe,Yes
Wales,Yes
